#{"t_start": 1773725816.4837217, "env_id": "None"}
r,l,t
-6149.184814,300,174.438689
-4597.079276,300,174.596573
-3145.282623,210,174.705287
-4819.328452,300,175.901623
-6347.224381,300,176.067331
-5795.672974,300,176.221563
-6922.616378,300,176.395752
-8866.141369,300,176.549265
-4726.281361,300,176.709312
-4270.56588,300,176.861867
-3895.587334,300,178.060331
-5971.594472,300,178.216143
-9232.906195,300,178.368463
-7425.857846,300,178.528028
-7023.816862,300,178.678513
-5135.757162,300,178.843354
-5370.001886,300,180.003441
-9226.541523,300,180.186358
-7474.137817,300,180.343098
-3717.933474,300,180.494496
-5254.075711,300,180.656514
-5268.436524,300,180.805394
-4222.440082,300,180.957914
-7512.735382,300,182.142964
-599.107281,59,182.177628
-8378.545959,300,182.35539
-5137.122627,300,182.514271
-3490.732046,300,182.68533
-6045.240029,300,182.844321
-6327.53603,300,182.996661
-1855.134913,108,183.057502
-4622.057566,300,183.220707
-4013.373563,300,184.430583
-6677.171408,300,184.590329
-5142.106781,300,184.766876
-8786.597157,300,184.919785
-6083.609631,300,185.072222
-5626.540938,300,185.227389
-8164.192137,300,186.400871
-6868.787388,300,186.582392
-6660.553631,300,186.733543
-5452.93515,300,186.897311
-7902.524324,300,187.052193
-7241.373242,300,187.205082
-5496.857181,300,187.369224
-4571.160068,300,188.5453
-3446.963437,297,188.720603
-6324.110141,300,188.908544
-6325.890183,300,189.125102
-4781.149105,300,189.297768
-6297.222704,300,189.449992
-7217.923669,300,189.614396
-7915.126709,300,190.854205
-6218.778606,300,191.027627
-6790.938219,300,191.190107
-4697.195978,300,191.342944
-4427.044779,300,191.495671
-6649.846304,300,191.652719
-3665.320375,300,191.81256
-4487.723803,300,192.989232
-5667.786348,300,193.154532
-6578.554553,300,193.318264
-4382.145315,300,193.47223
-8675.409579,300,193.630319
-5977.169584,300,193.795665
-6012.861369,300,193.945235
-4676.591029,300,195.113831
-4187.115039,300,195.276491
-6992.220835,300,195.442461
-5180.459139,300,195.595806
-3979.175416,300,195.763615
-6639.277803,300,195.947407
-6457.358512,300,196.130328
-4816.203314,300,197.323341
-7030.494339,300,197.491989
-5868.318458,300,197.64376
-4452.9708,300,197.798301
-7228.932452,300,197.949501
-5288.79123,300,198.114271
-8199.303684,300,199.264014
-5986.375576,300,199.44626
-5245.218236,300,199.608843
-3980.810622,300,199.75944
-4029.085306,300,199.915315
-8892.291975,300,200.07378
-6178.249918,300,200.22793
-8388.438277,300,201.387292
-5466.401443,300,201.56412
-4015.605011,300,201.72696
-6352.463174,300,201.876518
-5.800421,4,201.879525
-4202.295331,300,202.032298
-3954.634104,300,202.193149
-7105.887314,300,202.343732
-5085.321723,300,203.518331
-6936.654206,300,203.699331
-6962.679884,300,203.851799
-5163.141844,300,204.00179
-3995.591988,300,204.158047
-4156.983831,300,204.323448
-7923.256112,300,204.475125
-4673.383717,300,205.649263
-7086.394045,300,205.826474
-4564.906523,300,205.97834
-6896.47665,300,206.129702
-4815.558227,300,206.296768
-8081.773031,300,206.449172
-6441.016134,300,206.601581
-7634.606389,300,207.771349
-7643.202374,300,207.945401
-5109.595404,300,208.101572
-6340.109603,300,208.256444
-5682.295534,300,208.418069
-3821.302116,300,208.57071
-4800.194824,300,209.721578
-3999.684186,300,209.918618
-7508.123399,300,210.074029
-7652.423016,300,210.226524
-8396.638456,300,210.385402
-5039.823331,300,210.553144
-5225.582457,300,210.704775
-5398.662467,300,211.876461
-4827.458182,300,212.073175
-3623.020863,300,212.229288
-8891.223449,300,212.382016
-9517.82844,300,212.556615
-9767.258674,300,212.717288
-6703.95645,300,212.872982
-7704.272433,300,214.031517
-7508.118496,300,214.216826
-7723.426582,300,214.367154
-6665.712572,300,214.520571
-6061.189122,300,214.684147
-4295.181685,300,214.833966
-7357.807203,300,214.98573
-7242.279961,300,216.157802
-4716.95584,300,216.32848
-8556.597591,300,216.481477
-11494.933446,300,216.631799
-7089.624243,300,216.801851
-9565.109109,300,216.951373
-4601.74744,300,217.101409
-7443.901178,300,218.277421
-5731.79181,300,218.439763
